Temporada,Mes,Consum_P1,Consum_P2,Consum_P3,Consum_P4,Consum_P5,Consum_P6,Total Factura
2013,Gener,131167,200094,0,0,0,247217,9697.99
2013,Febrer,119091,181019,0,0,0,220764,82650.01
2013,Març,0,0,103923,189769,0,244026,63908.07
2013,Abril,0,0,0,0,296702,210927,55929.36
2013,Maig,0,0,0,0,299644,224643,57499.22
2013,Juny,76418,60003,65388,84865,0,221663,71533.89
2013,Juliol,234051,174992,0,0,0,232542,107241.72
2013,Agost,0,0,0,0,0,574949,62218.5
2013,Septembre,0,0,130857,170399,0,207734,64971.22
2013,Octubre,0,0,0,0,321516,187633,61903.01
2013,Novembre,0,0,86724,163716,0,195526,58410.33
2013,Decembre,92341,141095,0,0,0,177747,75783.87
2014,Gener,111078,170132,0,0,0,187921,68982.14
2014,Febrer,97320,148159,0,0,0,166109,63316.42
2014,Març,0,0,81801,158277,0,178946,56057.21
2014,Abril,0,0,0,0,197651,171776,49214.22
2014,Maig,0,0,0,0,230376,168631,51196.75
2014,Juny,83751,65542,59319,69637,0,183731,64349.17
2014,Juliol,190217,143223,0,0,0,201067,77755.86
2014,Agost,0,0,0,0,0,508152,55899.92
2014,Septembre,0,0,131435,166552,0,185874,61682.35
2014,Octubre,0,0,0,0,290153,173611,56250.47
2014,Novembre,0,0,75464,141995,0,164860,50900.04
2014,Decembre,96437,147926,0,0,0,187726,63090.1
2015,Gener,102327,157893,0,0,0,191620,66807.77
2015,Febrer,100628,154405,0,0,0,163778,63792.39
2015,Març,0,0,87452,169159,0,172901,53848.33
2015,Abril,0,0,0,0,234082,152959,47739.76
2015,Maig,0,0,0,0,246173,197670,52210.85
2015,Juny,92525,68112,72365,85563,0,182162,67309.72
2015,Juliol,239880,173857,0,0,0,229170,94064.65
2015,Agost,0,0,0,0,0,533097,55528.07
2015,Septembre,0,0,124083,152775,0,167794,55469.73
2015,Octubre,0,0,0,0,237533,173840,49224.29
2015,Novembre,0,0,82571,161690,0,160221,51259.08
2015,Decembre,93205,142239,0,0,0,176532,57975.78
2016,Gener,62097,93422,0,0,0,106279,42357.56
2016,Febrer,95347,144849,0,0,0,154207,56457.89
2016,Març,0,0,85387,165668,0,156770,51329.47
2016,Abril,0,0,0,0,226281,154770,46551.05
2016,Maig,0,0,0,0,241480,159532,48240.04
2016,Juny,85378,63142,67137,80945,0,163947,61102.36
2016,Juliol,193856,143715,0,0,0,219600,75355.13
2016,Agost,0,0,0,0,0,538804,55843.28
2016,Septembre,0,0,142542,176233,0,179991,60640.13
2016,Octubre,0,0,0,0,224146,167744,47346.55
2016,Novembre,0,0,80710,153131,0,149112,46583.49
2016,Decembre,87382,133121,0,0,0,168982,52450.21
2017,Gener,104516,159216,0,0,0,170660,57715.56
2017,Febrer,85568,129468,0,0,0,142251,50053.51
2017,Març,0,0,84813,159746,0,144780,47329.8
2017,Abril,0,0,0,0,206659,151352,42170.35
2017,Maig,0,0,0,0,68886,146128,50548.88
2017,Juny,87218,65599,66274,78715,0,176614,58258.39
2017,Juliol,207984,153598,0,0,0,261612,82391.88
2017,Agost,0,0,0,0,0,526684,55757.09
2017,Septembre,0,0,1326887,165187,0,177886,59264.07
2017,Octubre,0,0,0,0,248688,171418,46961.07
2017,Novembre,0,0,82641,156365,0,163143,48060
2017,Decembre,82846,125505,0,0,0,201739,53280.15
2018,Gener,98689,148748,0,0,0,165979,55147.67
2018,Febrer,100917,152298,0,0,0,159059,55362.51
2018,Març,0,0,80721,157597,0,167956,47965.84
2018,Abril,0,0,0,0,226965,157490,43931.37
2018,Maig,0,0,0,0,246353,153968,45266.83
2018,Juny,88040,64992,64941,79469,0,188632,59071.6
2018,Juliol,204486,150727,0,0,0,231134,73007.44
2018,Agost,0,0,0,0,0,569974,52774.55
2018,Septembre,0,0,123622,152237,0,212342,62484.65
2018,Octubre,0,0,0,0,241431,157144,52263.68
2018,Novembre,0,0,37528,147729,0,166103,52727.68
2018,Decembre,80233,126828,0,0,0,0,57116.94
2019,Gener,105204,165720,0,0,0,190540,65234.45
2019,Febrer,87875,138660,0,0,0,162198,56993.38
2019,Març,0,0,75022,141710,0,172891,51026.45
2019,Abril,0,0,0,0,214874,154097,47625.7
2019,Maig,0,0,0,0,227056,154165,48820.98
